Date,DAX,FTSE
1993-04-30,0.2001,0.9437
1993-05-03,0.1211,0.0
1993-05-04,-0.1099,-0.0178
1993-05-05,-0.2587,-0.5724
1993-05-06,0.0062,-0.3647
1993-05-07,-0.6986,0.2656
1993-05-10,-0.1793,1.2922
1993-05-11,0.4425,0.2226
1993-05-12,0.8236,0.8709
1993-05-13,0.634,-0.402
1993-05-14,-0.322,-0.0807
1993-05-17,-0.4056,0.3899
1993-05-18,0.0369,-0.3779
1993-05-19,-0.6798,-0.9693
1993-05-20,0.0,-0.1028
1993-05-21,-0.4217,-0.1633
1993-05-24,-0.4688,0.4765
1993-05-25,0.9445,0.4282
1993-05-26,0.2361,0.3242
1993-05-27,0.7688,0.2951
1993-05-28,-0.1603,-0.5113
1993-05-31,0.0,0.0
1993-06-01,-0.7329,0.2992
1993-06-02,0.3284,0.4843
1993-06-03,0.2713,-0.3563
1993-06-04,0.505,-0.8027
1993-06-07,1.0843,0.5265
1993-06-08,0.3624,-0.0141
1993-06-09,0.6897,0.791
1993-06-10,0.0,-0.2407
1993-06-11,0.4728,0.0629
1993-06-14,0.6544,0.8282
1993-06-15,-0.4657,-0.5372
1993-06-16,0.3242,0.453
1993-06-17,0.1616,-0.2532
1993-06-18,-0.3185,0.1287
1993-06-21,0.1731,0.8335
1993-06-22,0.4888,0.1447
1993-06-23,0.0771,-0.2373
1993-06-24,-0.7709,-0.2068
1993-06-25,0.5308,-0.2487
1993-06-28,0.7055,0.329
1993-06-29,0.0662,-0.3797
1993-06-30,-0.6263,0.4851
1993-07-01,0.5302,-0.3862
1993-07-02,-0.5168,-1.0766
1993-07-05,-0.3322,-0.6719
1993-07-06,0.5141,0.3382
1993-07-07,1.1106,0.007
1993-07-08,3.718,-0.0843
1993-07-09,0.7686,-0.0949
1993-07-12,1.155,-0.4326
1993-07-13,-0.6056,0.219
1993-07-14,0.2429,-0.1692
1993-07-15,-0.2147,-0.0212
1993-07-16,0.3209,0.0459
1993-07-19,1.2589,0.3495
1993-07-20,0.147,-0.6683
1993-07-21,-0.8255,-0.347
1993-07-22,-0.0159,0.2132
1993-07-23,0.4009,0.2695
1993-07-26,1.2939,0.5835
1993-07-27,-0.5009,1.2376
1993-07-28,-0.6135,0.1667
1993-07-29,-0.0115,1.158
1993-07-30,-1.6617,0.305
1993-08-02,0.6572,0.5194
1993-08-03,1.5619,0.1122
1993-08-04,0.9292,-0.1256
1993-08-05,0.0075,0.0714
1993-08-06,0.4665,0.8969
1993-08-09,0.1562,0.559
1993-08-10,-0.3813,-0.4956
1993-08-11,0.0343,1.161
1993-08-12,2.0983,0.0998
1993-08-13,0.0856,0.0332
1993-08-16,0.2942,-0.0598
1993-08-17,-0.1056,0.5551
1993-08-18,1.3376,1.6066
1993-08-19,0.1684,-0.2635
1993-08-20,-0.8406,-0.2577
1993-08-23,-1.7897,-0.5102
1993-08-24,0.4989,0.24
1993-08-25,1.0587,0.9806
1993-08-26,-0.8671,0.0
1993-08-27,0.1815,0.695
1993-08-30,0.9078,0.0
1993-08-31,1.1967,-0.0194
1993-09-01,-1.3528,-0.4806
1993-09-02,0.3669,-0.4052
1993-09-03,-0.0239,-0.4979
1993-09-06,-0.7729,0.0556
1993-09-07,-1.2731,-0.6669
1993-09-08,-0.0355,-0.1053
1993-09-09,-0.2376,-0.1384
1993-09-10,-1.0299,0.1913
1993-09-13,0.5979,-0.4017
1993-09-14,0.4272,0.1058
1993-09-15,-1.0731,-1.2748
1993-09-16,-0.2537,0.485
1993-09-17,1.4184,0.0533
1993-09-20,1.6392,-0.0333
1993-09-21,0.6801,-0.0965
1993-09-22,-1.7057,0.1966
1993-09-23,1.2419,-0.2062
1993-09-24,-1.5993,0.1299
1993-09-27,1.3956,0.7021
1993-09-28,0.0748,0.3503
1993-09-29,-0.3094,-0.2239
1993-09-30,0.4204,0.2442
1993-10-01,-0.189,0.0593
1993-10-04,0.6082,0.9344
1993-10-05,2.5477,0.5705
1993-10-06,0.7259,0.5056
1993-10-07,0.5028,-0.2709
1993-10-08,0.3991,0.5239
1993-10-11,0.2997,-0.2059
1993-10-12,-0.6171,-0.2418
1993-10-13,0.1451,-0.4459
1993-10-14,-0.5716,0.1753
1993-10-15,1.2542,1.1178
1993-10-18,0.9077,0.5383
1993-10-19,-0.3226,-0.255
1993-10-20,0.7796,0.8531
1993-10-21,-0.3853,1.0138
1993-10-22,1.5472,0.3356
1993-10-25,0.3978,-0.4439
1993-10-26,-0.7554,-0.6123
1993-10-27,-0.7597,-0.3475
1993-10-28,-0.2261,0.2758
1993-10-29,1.4982,0.2529
1993-11-01,-0.3325,-0.2081
1993-11-02,1.6226,-0.0095
1993-11-03,-0.5354,-0.0569
1993-11-04,-1.0435,-0.4206
1993-11-05,-2.4265,-2.0133
1993-11-08,-0.087,-0.2593
1993-11-09,0.5978,0.5979
1993-11-10,0.0499,0.0807
1993-11-11,-0.0252,0.0387
1993-11-12,-0.4112,-0.0194
1993-11-15,1.6923,-0.1872
1993-11-16,1.1034,0.1358
1993-11-17,0.0,0.7264
1993-11-18,0.6574,0.1763
1993-11-19,-0.3822,-0.5599
1993-11-22,-2.2803,-1.2033
1993-11-23,-0.1276,-0.0423
1993-11-24,0.1056,-0.0684
1993-11-25,0.8948,0.8444
1993-11-26,-0.023,0.5916
1993-11-29,-0.1861,0.7842
1993-11-30,0.7018,0.9918
1993-12-01,1.5599,2.0935
1993-12-02,0.9886,-0.2876
1993-12-03,0.4776,0.3195
1993-12-06,-0.0854,0.0959
1993-12-07,-0.1576,0.0
1993-12-08,1.5443,1.2387
1993-12-09,1.2881,-0.177
1993-12-10,-0.6742,-0.3148
1993-12-13,0.5377,-0.2054
1993-12-14,-1.0484,-0.1905
1993-12-15,-1.8265,0.9358
1993-12-16,1.2674,0.9882
1993-12-17,0.6349,0.7822
1993-12-20,1.2617,0.8331
1993-12-21,0.219,-0.6687
1993-12-22,0.6679,0.3979
1993-12-23,1.1527,1.2158
1993-12-24,0.0,0.4652
1993-12-27,1.4009,0.0
1993-12-28,-0.4951,0.0
1993-12-29,-1.2538,1.4565
1993-12-30,2.347,-0.959
1993-12-31,0.0,-0.3033
1994-01-03,0.0574,0.0
1994-01-04,-0.6349,-0.2896
1994-01-05,-0.895,-0.8596
1994-01-06,-0.5906,0.7043
1994-01-07,-0.3864,1.2636
1994-01-10,1.0015,-0.1567
